Browser,Market Share (2008),Market Share (2009),Market Share (2010),Market Share (2011),Market Share (2012)
IE,67.92,59.71,51.45,42.93,33.23
Firefox,25.49,30.48,31.27,28.2,23.79
Opera,2.7,2.62,1.96,1.84,1.69
Safari,2.7,3.1,4.31,5.33,7.25
Chrome,0.91,3.27,10.25,21.08,32.78
