tech	level	legend
HTML	3	HTML4, HTML5
JS	5	Javascript, jQuery, JSON
CSS	4	CSS3, CSS4, less, Bootstrap
DOM	3	Document Object Model 3
SVG	3	Scalable Vector Graphics
CANVAS	2	HTML5 Canvas + Javascript
