Browser,Market Share (2008),Market Share (2009),Market Share (2010),Market Share (2011),Market Share (2012)
Chrome,0.91,3.13,10.34,20.12,30.3
Firefox,34.8,39.28,38.49,35.11,30.09
IE,55.08,47.17,41.86,34.82,28.08
Safari,2.37,2.9,4.12,5.27,7.21
Opera,6.52,6.52,4.38,4.03,3.36
